A,z1,z2,phi,lambda,spinodal,arrest
0.0,0.7,0.5,0.12,3.9240716755723217,3.9240716755723217,3.9240716755723217
0.0,0.7,0.5,0.13,3.9384972312012394,3.9384972312012394,3.9384972312012394
0.0,0.7,0.5,0.14,3.928885517929484,3.928885517929484,3.928885517929484
0.0,0.7,0.5,0.15,3.899853644287079,3.899853644287079,3.899853644287079
0.0,0.7,0.5,0.16,3.8542712601695883,3.8542712601695883,3.8542712601695883
0.0,0.7,0.5,0.17,3.7935828033395,3.7935828033395,3.7935828033395
0.0,0.7,0.5,0.18,3.7207037529296874,3.7207037529296874,3.7207037529296874
0.0,0.7,0.5,0.19,3.6384689509994175,3.6384689509994175,3.6384689509994175
0.0,0.7,0.5,0.2,3.5472463226031694,3.5472463226031694,3.5472463226031694
0.0,0.7,0.5,0.21,3.449719442905153,3.449719442905153,3.449719442905153
0.0,0.7,0.5,0.22,3.34599941453705,3.346820704492299,3.346820704492299
0.0,0.7,0.5,0.23,3.2389408209316044,3.239731770826826,3.239731770826826
0.0,0.7,0.5,0.24,3.1438763494716633,3.1438763494716633,3.1438763494716633
0.0,0.7,0.5,0.25,3.023673127841292,3.023673127841292,3.023673127841292
0.0,0.7,0.5,0.26,2.909850678697912,2.909850678697912,2.909850678697912
0.0,0.7,0.5,0.27,2.7953600585157057,2.7953600585157057,2.7953600585157057
0.0,0.7,0.5,0.28,2.6813832911016084,2.6813832911016084,2.6813832911016084
0.0,0.7,0.5,0.29,2.5582987780464648,2.5633052316238554,2.5633052316238554
0.0,0.7,0.5,0.3,2.4549324532463586,2.4549324532463586,2.4549324532463586
0.0,0.7,0.5,0.31,2.3340255237443595,2.340890301755372,2.340890301755372
0.0,0.7,0.5,0.32,2.2241271935548337,2.231758999120953,2.231758999120953
0.0,0.7,0.5,0.33,2.126594140310161,2.126594140310161,2.126594140310161
0.0,0.7,0.5,0.34,2.02186570320087,2.02186570320087,2.02186570320087
0.0,0.7,0.5,0.35,1.9197928272008202,1.9197928272008202,1.9197928272008202
0.0,0.7,0.5,0.36,1.8196792328807831,1.8205681816999726,1.8205681816999726
0.0,0.7,0.5,0.37,1.7235883406112193,1.7244390104094867,1.7244390104094867
0.0,0.7,0.5,0.38,1.6398247495918272,1.6398247495918272,1.6398247495918272
0.0,0.7,0.5,0.39,1.5290862969658559,1.541709104067835,1.541709104067835
0.0,0.7,0.5,0.4,1.4617316572611663,1.4617316572611663,1.4617316572611663
0.0,0.7,0.5,0.41,1.3768517010705883,1.3768517010705883,1.3768517010705883
0.0,0.7,0.5,0.42,1.2958604833605538,1.2958604833605538,1.2958604833605538
0.0,0.7,0.5,0.43,1.2178771506339359,1.2178771506339359,1.2178771506339359
0.0,0.7,0.5,0.44,1.1428770721304882,1.1428770721304882,1.1428770721304882
0.0,0.7,0.5,0.45,1.071408026572651,1.071408026572651,1.071408026572651
0.0,0.8,0.5,0.01,0.6231710750883818,0.6231710750883818,0.6231710750883818
0.0,0.8,0.5,0.02,1.1513122824213504,1.1513122824213504,1.1513122824213504
0.0,0.8,0.5,0.03,1.5961146935451813,1.5961146935451813,1.5961146935451813
0.0,0.8,0.5,0.04,1.96732414188058,1.96732414188058,1.96732414188058
0.0,0.8,0.5,0.05,2.2745987911009786,2.2745987911009786,2.2745987911009786
0.0,0.8,0.5,0.06,2.525095847033538,2.525095847033538,2.525095847033538
0.0,0.8,0.5,0.07,2.725465727129251,2.725465727129251,2.725465727129251
0.0,0.8,0.5,0.08,2.883911844421386,2.883911844421386,2.883911844421386
0.0,0.8,0.5,0.09,3.002983289234362,3.002983289234362,3.002983289234362
0.0,0.8,0.5,0.1,3.089451290734761,3.089451290734761,3.089451290734761
0.0,0.8,0.5,0.11,3.146949541406631,3.146949541406631,3.146949541406631
0.0,0.8,0.5,0.12,3.1813281058738494,3.1813281058738494,3.1813281058738494
